land_a,land_b,gedeelde_moleculen,a_eerst,b_eerst,gelijke_dag,aandeel_a_eerst,mediaan_dagen,spreiding_dagen,kwartiel_25,kwartiel_75
BE,IS,76,10,66,0,0.132,-279.5,199.9,-449.2,-144.2
GR,IS,38,5,33,0,0.132,-230.0,198.3,-403.5,-23.5
FI,GB,15,2,13,0,0.133,-265,183.4,-431.0,-73.0
GR,US,22,3,19,0,0.136,-164.5,168.9,-270.2,-40.2
ES,GB,21,3,18,0,0.143,-212,248.2,-380.0,-51.5
DE,IS,34,5,29,0,0.147,-234.0,213.0,-304.0,-65.8
EE,IS,18,3,15,0,0.167,-222.5,234.1,-329.8,-72.0
ES,SA,12,2,10,0,0.167,-136.5,249.9,-498.0,-70.5
SA,SE,12,10,2,0,0.833,270.5,214.8,163.5,534.2
IE,IS,47,8,39,0,0.17,-226,238.2,-439.0,-71.0
FI,IS,99,18,81,0,0.182,-220,224.4,-408.0,-53.0
BE,SA,11,2,9,0,0.182,-159,209.4,-319.0,-78.0
AT,NO,119,22,96,1,0.185,-141,192.3,-240.0,-26.0
ES,IS,102,19,83,0,0.186,-173.0,221.9,-378.0,-26.8
GR,NO,69,13,55,1,0.188,-163,157.5,-255.0,-48.0
BE,NO,155,30,124,1,0.194,-157,170.8,-241.0,-22.0
IS,US,41,33,7,1,0.805,183,215.8,70.0,327.5
DK,IS,35,7,28,0,0.2,-175,207.5,-305.0,-28.0
AT,IS,59,12,47,0,0.203,-204,237.6,-357.0,-14.0
BE,LV,34,7,27,0,0.206,-132.5,200.4,-257.2,-17.8
MY,NO,24,5,19,0,0.208,-92.5,143.5,-221.0,-18.0
AU,IS,83,18,65,0,0.217,-196,216.4,-375.0,-28.0
AT,IT,67,15,51,1,0.224,-119,235.7,-337.0,-4.0
FR,LV,13,3,10,0,0.231,-112,242.6,-262.5,7.5
GR,IT,51,12,38,1,0.235,-94,183.8,-245.0,0.0
BE,SI,42,10,31,1,0.238,-108.5,199.8,-205.5,1.0
FR,NO,54,13,41,0,0.241,-89.0,158.2,-214.0,-4.8
IE,LV,24,6,18,0,0.25,-107.5,217.9,-288.0,26.0
CZ,IT,44,11,33,0,0.25,-47.5,228.3,-289.2,0.8
HR,IS,32,8,24,0,0.25,-143.0,311.9,-387.8,18.2
JP,RO,52,39,13,0,0.75,173.0,238.6,2.2,296.5
CZ,LV,16,4,12,0,0.25,-120.0,154.3,-285.8,3.2
LV,RO,28,21,7,0,0.75,135.5,229.5,-6.0,228.0
